Tipo ;Laranja;Massa ;Volumesuco;Ph;Temperaturasuco;Brix;comprimento;largura;Furo;Temperaturaambiente 
1;1;112;46;3.9;22.6;11.4;5.74;5.96;3;23
1;2;173;84;3.88;22.1;10.2;6.67;6.88;5;23
1;3;106;50;4.16;22.4;10.1;6.04;5.71;2;23
1;4;167;90;4.02;22.5;11.1;6.71;6.67;4;23
1;5;94;52;4.04;22.7;11.4;5.52;5.56;2;23
1;6;187;116;3.9;22.6;9.3;7.02;6.9;5;23
1;7;101;37;4.34;22.5;8.9;5.82;5.57;2;23
1;8;183;94;4.27;22.3;8.6;6.89;6.96;6;23
1;9;102;59;4.01;22.8;10.2;5.68;5.6;2;23
1;10;183;116;4.03;22.8;8.6;7.04;6.83;5;23
1;11;105;50;4.16;22.8;9.4;5.48;6.06;3;23
1;12;130;85;3.97;22.5;9;6.33;6.03;3;23
1;13;99;48;4.43;22.8;9.2;5.53;5.73;2;23
1;14;110;51;4.28;23.1;9.6;6.21;5.69;2;23
1;15;153;84;4.21;22.9;10;6.39;6.7;4;23
1;16;112;58;4.42;22.9;9;5.72;5.98;3;23
1;17;121;79;4.25;23.1;9;6;6.12;3;23
1;18;116;54;4.04;22.9;8.9;6.33;6.05;3;23
1;19;123;66;4.09;23.2;11.8;5.83;6.05;3;23
1;20;185;102;4.29;23.2;10;7.08;6.87;5;23
1;21;143;88;4.04;23.2;10;6.4;6.23;3;23
1;22;146;95;3.97;23.3;9;6.41;6.53;4;23
1;23;141;62;4.26;23.3;10;6.46;6.4;4;23
1;24;182;96;4.19;23.3;9.9;6.81;7.09;5;23
1;25;136;66;3.88;20.8;10.4;6.15;6.27;3;21
1;26;154;90;3.73;20.8;10.3;6.44;6.67;4;21
1;27;124;65;4.05;20.6;8.7;6.29;6.02;3;21
1;28;187;116;3.98;20.9;9.3;7.06;6.97;5;21
1;29;117;74;3.84;20.9;9.3;5.86;6.06;3;21
1;30;158;95.9;4.06;20.6;9.2;6.65;6.66;4;21
1;31;135;90;3.9;21.3;9;6.2;6.17;3;21
1;32;168;130;3.95;20.9;9;7.54;7.12;5;21
1;33;133;80;4.1;21;8.9;6.04;6.29;3;21
1;34;158;97;3.91;21.1;10.2;6.75;6.78;4;21
1;35;189;118;3.9;21.1;9.4;7.19;7.02;5;21
1;36;146;85;3.98;21.4;10.3;6.92;6.33;3;21
1;37;194;104;3.9;21.2;9.6;7.07;7.11;5;21
1;38;131;74;3.64;21.3;12.4;6.36;6.13;3;21
1;39;195;110;3.89;21.3;10;7.57;7.1;5;21
1;40;183;108;3.84;21;9.2;6.98;7.07;5;21
1;41;165;66;4.6;19.2;8;6.98;6.78;4;19
1;42;119;61;3.71;19.3;10.1;5.96;6.04;3;19
1;43;164;100;3.94;19.1;9.3;6.52;6.83;4;19
1;44;177;113;3.97;19;8;6.81;7.03;5;19
1;45;131;62;4.03;19.1;9.5;6.4;6.2;3;19
1;46;166;94;4.12;19;10.1;6.89;6.54;4;19
1;47;152;84;4.2;19.3;9;6.73;6.33;3;19
1;48;164;98;4.2;19.5;9;6.77;6.75;4;19
1;49;168;101;4.14;19.8;7;7.09;6.52;4;21
1;50;173;98;4.05;19.6;8.4;6.94;7.04;5;21
1;51;154;86;4.04;19.6;10;6.45;6.59;4;21
1;52;166;73;3.68;19.6;10.3;6.84;6.67;4;21
1;53;142;83;3.94;19.5;9.4;6.51;6.3;3;21
1;54;160;86;4.22;19.3;11.4;6.42;6.7;4;21
1;55;140;88;4.07;19.8;9.5;6.6;6.14;3;21
1;56;150;90;4.06;19.9;9.6;6.61;6.52;4;21
1;57;157;88;4.09;19.9;9.4;6.83;6.41;4;21
1;58;153;70;4.26;19.8;10;6.81;6.65;4;21
1;59;163;91;4.2;19.8;9.2;6.91;6.6;4;21
1;60;147;89;4.06;19.9;9.3;6.44;6.38;3;21
